———————————————————————
08-23-25 (3392).txt
———————————————————————
Pulses:3343-3392
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
3392: 01010101 01110000 00110101 10000001
3391: 01010000 01110011 00101110 00000001
3390: 01001101 01110011 00110100 00000001
3389: 01001000 01110010 00101101 00000001
3388: 01000101 01110010 00110101 00000001
3387: 01000000 01110010 00101111 00000001
3386: 00111101 01110010 00110101 00000001
3385: 00111000 01110010 00101110 00000001
3384: 00110101 01110011 00110101 00000001
3383: 00110000 01110010 00101111 00000001
3382: 00101101 01110011 00110110 00000001
3381: 00101000 01110010 00110000 00000001
3380: 00100101 01110011 00110110 00000001
3379: 00100000 01110010 00101111 00000001
3378: 00011101 01110011 00110110 00000001
3377: 00011000 01110011 00101110 00000001
3376: 00010101 01110011 00110110 00000001
3375: 00010000 01110010 00101110 10000001
3374: 00001101 01110011 00110110 10000001
3373: 00001000 01110011 00101111 10000001
3372: 00000101 01110011 00110111 10000001
3371: 00000000 01110010 00110000 10000001
3370: 01100101 01110011 00110111 10000000
3369: 01100000 01110010 00101111 10000000
3368: 01011101 01110011 00110110 10000000
3367: 01011000 01110010 00101110 00000000
3366: 01010101 01110011 00110011 00000000
3365: 01010000 01110010 00101100 00000000
3364: 01001101 01110010 00110010 00000000
3363: 01001000 01110010 00101100 00000000
3362: 01000101 01110011 00110010 00000000
3361: 01000000 01110011 00101100 00000000
3360: 00111101 01110011 00110010 00000000
3359: 00111000 01110011 00101100 00000000
3358: 00110101 01110011 00110010 00000000
3357: 00110000 01110011 00101100 00000000
3356: 00101101 01110010 00110011 00000000
3355: 00101000 01110010 00101100 00000000
3354: 00100101 01110010 00110011 00000000
3353: 00100000 01110010 00101101 00000000
3352: 00011101 01110010 00110001 00000000
3351: 00011000 01110010 00101100 10000000
3350: 00010101 01110010 00110011 10000000
3349: 00010000 01110011 00101100 10000000
3348: 00001101 01110011 00110011 10000000
3347: 00001000 01110010 00101110 10000000
3346: 00000101 01110011 00110101 10000000
3345: 00000000 01110010 00101110 10000000
3344: 01100001 01110011 00110101 10000000
3343: 01011100 01110010 00101110 10000000
———————————————————————
