08-25-25 (PL+62)-957PM.txt
Pod Active: 3h23m
Fault Time: 0s
Fault Event Code 0x00: No fault
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
0060: 01001101 00100001 00010110 00000000
0059: 01001000 01100001 00010100 00000000
0058: 01000101 01100010 00010111 00000000
0057: 01000000 01100011 00010101 00000000
0056: 00111101 01100011 00010111 00000000
0055: 00111000 01100011 00010101 00000000
0054: 00110101 01100011 00010111 00000000
0053: 00110000 01100011 00010101 00000000
0052: 00101101 01100011 00010111 00000000
0051: 00101000 01100011 00010101 00000000
0050: 00100101 01100011 00010111 00000000
0049: 00100000 01100010 00010101 00000000
0048: 00011101 01100010 00010111 00000000
0047: 00011000 01100010 00010101 10000000
0046: 00010101 01100010 00010111 10000000
0045: 00010000 01100010 00010101 10000000
0044: 00001101 01100011 00010111 10000000
0043: 00001000 01100010 00010101 10000000
0042: 00000101 01100011 00011000 10000000
0041: 00000000 01100010 00010101 10000000
0040: 01100001 01100011 00011000 10000001
0039: 01011100 01100010 00010101 10000001
0038: 01011001 01100011 00011000 10000001
0037: 01010100 01100011 00010101 00000001
0036: 01010001 01100010 00011001 00000001
0035: 01001100 01100010 00010101 00000001
0034: 01001001 01100010 00011000 00000001
0033: 01000100 01100010 00010101 00000001
0032: 01000001 01100011 00011000 00000001
0031: 00111100 01100010 00010101 00000001
0030: 00111001 01100010 00011001 00000001
0029: 00110100 01100010 00010101 00000001
0028: 00110001 01100010 00011001 00000001
0027: 00101100 01100010 00010101 00000001
0026: 00101001 01100011 00011000 00000001
0025: 00100100 01100011 00010100 00000001
0024: 00100001 01100010 00011000 00000001
0023: 00011100 01100011 00010100 00000001
0022: 00011001 01100010 00011000 00000001
0021: 00010100 01100010 00010100 10000001
0020: 00010001 01100010 00010111 10000001
0019: 00001100 01100011 00010100 10000001
0018: 00001001 01100010 00010111 10000001
0017: 00000100 01100011 00010100 10000001
0016: 00000001 01100010 00010111 10000001
0015: 01100100 01100010 00010101 10111111
0014: 01100001 01100011 00010111 10111111
0013: 01011100 01100010 00010101 10111111
0012: 01011001 01100011 00010111 00111111
0011: 01010100 01100010 00010101 00111111
0010: 01010001 01100010 00010111 00111111
0009: 01001100 01100010 00010100 00111111
0008: 01001001 01100010 00010111 00111111
0007: 01000100 01100010 00010101 00111111
0006: 01000001 01100010 00010111 00111111
0005: 00111100 01100011 00010101 00111111
0004: 00111001 01100010 00010111 00111111
0003: 00110100 01100010 00010101 00111111
0002: 00110001 01100011 00010110 00111111
0001: 00101100 01100010 00010101 00111111
———————————————————————
