———————————————————————
08-25-25 (PL+65).txt
__________________________
Pod Active: 4h23m
Fault Time: 0s
Fault Event Code 0x00: No fault
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
0060: 00101100 01100001 00010101 00000001
0059: 00101001 01100011 00011001 00000001
0058: 00100100 01100010 00010101 00000001
0057: 00100001 01100010 00011001 00000001
0056: 00011100 01100011 00010100 00000001
0055: 00011001 01100011 00011000 00000001
0054: 00010100 01100010 00010100 10000001
0053: 00010001 01100011 00010111 10000001
0052: 00001100 01100011 00010100 10000001
0051: 00001001 01100010 00011000 10000001
0050: 00000100 01100011 00010101 10000001
0049: 00000001 01100010 00011000 10000001
0048: 01100100 01100011 00010101 10111111
0047: 01100001 01100011 00011000 10111111
0046: 01011100 01100011 00010101 10111111
0045: 01011001 01100011 00011000 00111111
0044: 01010100 01100010 00010101 00111111
0043: 01010001 01100011 00010111 00111111
0042: 01001100 01100011 00010100 00111111
0041: 01001001 01100011 00010111 00111111
0040: 01000100 01100010 00010101 00111111
0039: 01000001 01110010 00011000 00111111
0038: 00111100 01100010 00010110 00111111
0037: 00111001 01100011 00010111 00111111
0036: 00110100 01100011 00010101 00111111
0035: 00110001 01100011 00010111 00111111
0034: 00101100 01100011 00010101 00111111
0033: 00101001 01100011 00010111 00111111
0032: 00100100 01100010 00010110 00111111
0031: 00100001 01100011 00010110 00111111
0030: 00011100 01100011 00010101 10111111
0029: 00011001 01100011 00010101 10111111
0028: 00010100 01100011 00010101 10111111
0027: 00010001 01100010 00010111 10111111
0026: 00001100 01100010 00010110 10111111
0025: 00001001 01100010 00011000 10111111
0024: 00000100 01100010 00010110 10111111
0023: 00000001 01100010 00011000 10111111
0022: 01011100 01100010 00010110 10000000
0021: 01011001 01100011 00010111 10000000
0020: 01010100 01100011 00010101 10000000
0019: 01010001 01100011 00010111 00000000
0018: 01001100 01100010 00010101 00000000
0017: 01001001 01100011 00010110 00000000
0016: 01000100 01100011 00010101 00000000
0015: 01000001 01100011 00010111 00000000
0014: 00111100 01100011 00010101 00000000
0013: 00111001 01100010 00011000 00000000
0012: 00110100 01100010 00010110 00000000
0011: 00110001 01100100 00011000 00000000
0010: 00101100 01100000 00010110 00000000
0009: 00101001 01100010 00011000 00000000
0008: 00100100 01100010 00010110 00000000
0007: 00100001 01100011 00010111 00000000
0006: 00011100 01100011 00010101 00000000
0005: 00011001 01100010 00010111 10000000
0004: 00010100 01100011 00010101 10000000
0003: 00010001 01100011 00010111 10000000
0002: 00001100 01100010 00010110 10000000
0001: 00001001 01100010 00011000 10000000
———————————————————————
