———————————————————————
09-20-24 (1596).txt
———————————————————————
Pulses: 1547-1596
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
1596: 00000101 01000001 00100101 10000000
1595: 00000000 01000000 00100000 10000000
1594: 01100001 01000001 00100101 10000000
1593: 01011100 01000001 00100000 10000000
1592: 01011001 01000001 00100101 10000000
1591: 01010100 01000001 00100000 00000000
1590: 01010001 01000000 00100101 00000000
1589: 01001100 01000001 00011111 00000000
1588: 01001001 01000001 00100101 00000000
1587: 01000100 01010001 00100000 00000000
1586: 01000001 01000001 00100110 00000000
1585: 00111100 01000001 00100000 00000000
1584: 00111001 01000000 00100110 00000000
1583: 00110100 01010001 00100000 00000000
1582: 00110001 01000001 00100101 00000000
1581: 00101100 01000000 00100000 00000000
1580: 00101001 01000001 00100101 00000000
1579: 00100100 01000001 00100000 00000000
1578: 00100001 01000000 00100100 00000000
1577: 00011100 01000001 00100000 10000000
1576: 00011001 01000000 00100101 10000000
1575: 00010100 01000001 00100000 10000000
1574: 00010001 01000000 00100110 10000000
1573: 00001100 01100000 00100001 10000000
1572: 00001001 01100010 00100110 10000000
1571: 00000100 01100011 00100001 10000000
1570: 00000001 01100100 00100110 10000000
1569: 01100000 01100000 00100010 10000000
1568: 01011101 01100010 00101000 10000000
1567: 01011000 01100010 00100011 10000000
1566: 01010101 01100010 00101000 00000000
1565: 01010000 01100010 00100010 00000000
1564: 01001101 01100100 00100110 00000000
1563: 01001000 01100001 00100011 00000000
1562: 01000101 01100010 00101000 00000000
1561: 01000000 01100010 00100011 00000000
1560: 00111101 01100010 00101000 00000000
1559: 00111000 01100011 00100010 00000000
1558: 00110101 01100010 00100111 00000000
1557: 00110000 01100011 00100001 00000000
1556: 00101101 01100010 00100110 00000000
1555: 00101000 01110010 00100001 00000000
1554: 00100101 01100010 00100110 00000000
1553: 00100000 01100011 00011111 00000000
1552: 00011101 01100101 00100100 00000000
1551: 00011000 01110001 00100001 10000000
1550: 00010101 01100010 00100101 10000000
1549: 00010000 01100010 00100001 10000000
1548: 00001101 01100011 00100101 10000000
1547: 00001000 01100010 00100001 10000000
———————————————————————
