09-25-25 (PL+65).txt
———————————————————————
Pod Active: 24h8m
Fault Time: 0s
Fault Event Code 0x00: No fault
Pulses: 0001-0060
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
0060: 00010001 01100000 00011011 10000001
0059: 00001100 01100010 00010111 10000001
0058: 00001001 01100011 00011010 10000001
0057: 00000100 01100011 00010110 10000001
0056: 00000001 01100010 00011010 10000001
0055: 01100100 01100011 00010110 10111111
0054: 01100001 01100010 00011010 10111111
0053: 01011100 01100100 00010110 10111111
0052: 01011001 01100001 00011001 00111111
0051: 01010100 01100010 00010101 00111111
0050: 01010001 01100010 00011001 00111111
0049: 01001100 01100101 00010110 00111111
0048: 01001001 01000000 00011010 00111111
0047: 01000100 01000001 00010111 00111111
0046: 01000001 01100000 00011011 00111111
0045: 00111100 01100010 00011000 00111111
0044: 00111001 01100010 00011011 00111111
0043: 00110100 01100010 00011000 00111111
0042: 00110001 01100010 00011011 00111111
0041: 00101100 01100010 00011000 00111111
0040: 00101001 01100011 00011010 00111111
0039: 00100100 01100011 00010111 00111111
0038: 00100001 01100010 00011001 00111111
0037: 00011100 01100011 00010111 10111111
0036: 00011001 01100011 00011001 10111111
0035: 00010100 01100010 00011000 10111111
0034: 00010001 01100011 00011010 10111111
0033: 00001100 01100010 00011000 10111111
0032: 00001001 01100011 00011010 10111111
0031: 00000100 01100010 00011000 10111111
0030: 00000001 01100011 00011010 10111111
0029: 01011100 01100010 00011000 10000000
0028: 01011001 01100010 00011010 10000000
0027: 01010100 01100101 00010111 10000000
0026: 01010001 01000000 00011001 00000000
0025: 01001100 01000000 00010111 00000000
0024: 01001001 01000001 00011001 00000000
0023: 01000100 01000001 00010111 00000000
0022: 01000001 01000000 00011010 00000000
0021: 00111100 01000001 00010111 00000000
0020: 00111001 01000000 00011010 00000000
0019: 00110100 01000001 00010111 00000000
0018: 00110001 01000000 00011010 00000000
0017: 00101100 01000000 00011000 00000000
0016: 00101001 01000001 00011010 00000000
0015: 00100100 01000000 00011000 00000000
0014: 00100001 01000001 00011010 00000000
0013: 00011100 01000000 00010111 00000000
0012: 00011001 01000001 00011010 00000000
0011: 00010100 01000001 00010111 10000000
0010: 00010001 01000001 00011010 10000000
0009: 00001100 01000000 00011000 10000000
0008: 00001001 01100000 00011011 10000000
0007: 00000100 01100011 00011000 10000000
0006: 00000001 01100011 00011011 10000000
0005: 01100000 01100011 00011000 10000000
0004: 01011101 01100010 00011011 10000000
0003: 01011000 01100011 00011000 10000000
0002: 01010101 01000010 00011011 00000000
0001: 01010000 01100010 00011000 00000000
