6D1597C1-6070-4EF7-AA
_______________________
Pod Active: 6m
Fault Time: 0s
Fault Event Code 0x00: No fault

Pulse eeeeee0a pppliiib cccccccc dfgggggg
0057: 00101100 00100000 00011001 00000000
0056: 00101001 01100001 00011101 00000000
0055: 00100100 01100000 00011001 00000000
0054: 00100001 01100000 00011100 00000000
0053: 00011100 01100000 00011000 00000000
0052: 00011001 01100001 00011011 00000000
0051: 00010100 01100001 00011000 10000000
0050: 00010001 01100001 00011011 10000000
0049: 00001100 01100001 00011000 10000000
0048: 00001001 01100000 00011011 10000000
0047: 00000100 01100010 00011000 10000000
0046: 00000001 01100000 00011101 10000000
0045: 01001000 01100001 00011010 10000000
0044: 01000101 01100000 00011101 10000000
0043: 01000000 01100000 00011010 10000000
0042: 00111101 01100001 00011100 00000000
0041: 00111000 01100000 00011001 00000000
0040: 00110101 01100001 00011011 00000000
0039: 00110000 01100000 00011001 00000000
0038: 00101101 01100000 00011011 00000000
0037: 00101000 01100001 00011001 00000000
0036: 00100101 01100001 00011010 00000000
0035: 00100000 01100000 00011001 00000000
0034: 00011101 01100000 00011010 00000000
0033: 00011000 01100001 00011000 00000000
0032: 00010101 01100000 00011010 00000000
0031: 00010000 01100000 00011000 00000000
0030: 00001101 01100001 00011001 00000000
0029: 00001000 01100000 00011000 00000000
0028: 00000101 01100000 00011000 00000000
0027: 00000000 01100001 00010111 10000000
0026: 00000001 01100000 00011001 10000000
0025: 00000000 01100000 00011000 10000000
0024: 00000001 01100001 00011010 10000000
0023: 00000000 01100001 00011000 10000000
0022: 00000001 01100001 00011010 10000000
0021: 00000000 01100000 00011000 10000000
0020: 00000001 01100000 00011010 10000000
0019: 00000000 01100001 00010111 10000000
0018: 00000001 01100001 00011001 10000000
0017: 00000000 01100000 00010111 10000000
0016: 00000001 01100000 00011001 00000000
0015: 00000000 01100000 00010111 00000000
0014: 00000001 01100000 00011001 00000000
0013: 00000000 01100001 00010111 00000000
0012: 00000001 01100001 00011001 00000000
0011: 00000000 01100000 00010111 00000000
0010: 00000001 01100001 00011000 00000000
0009: 00000000 01100001 00010110 00000000
0008: 00000001 01100001 00011000 00000000
0007: 00000000 01100001 00010110 00000000
0006: 00000001 01100001 00011000 00000000
0005: 00000000 01100001 00011100 10000000
0004: 00000001 01100000 00100010 10000000
0003: 00000000 01100001 00011110 10000000
0002: 00000001 01100001 00100010 10000000
0001: 00000000 01100010 00100011 10000000
———————————————————————
