Pulses: 1001-1050
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
1050: 00010001 01100000 00011011 10000001
1049: 00001100 01100010 00010111 10000001
1048: 00001001 01100011 00011010 10000001
1047: 00000100 01100011 00010110 10000001
1046: 00000001 01100010 00011010 10000001
1045: 01100100 01100011 00010110 10111111
1044: 01100001 01100010 00011010 10111111
1043: 01011100 01100100 00010110 10111111
1042: 01011001 01100001 00011001 00111111
1041: 01010100 01100010 00010101 00111111
1040: 01010001 01100010 00011001 00111111
1039: 01001100 01100101 00010110 00111111
1038: 01001001 01000000 00011010 00111111
1037: 01000100 01000001 00010111 00111111
1036: 01000001 01100000 00011011 00111111
1035: 00111100 01100010 00011000 00111111
1034: 00111001 01100010 00011011 00111111
1033: 00110100 01100010 00011000 00111111
1032: 00110001 01100010 00011011 00111111
1031: 00101100 01100010 00011000 00111111
1030: 00101001 01100011 00011010 00111111
1029: 00100100 01100011 00010111 00111111
1028: 00100001 01100010 00011001 00111111
1027: 00011100 01100011 00010111 10111111
1026: 00011001 01100011 00011001 10111111
1025: 00010100 01100010 00011000 10111111
1024: 00010001 01100011 00011010 10111111
1023: 00001100 01100010 00011000 10111111
1022: 00001001 01100011 00011010 10111111
1021: 00000100 01100010 00011000 10111111
1020: 00000001 01100011 00011010 10111111
1019: 01011100 01100010 00011000 10000000
1018: 01011001 01100010 00011010 10000000
1017: 01010100 01100101 00010111 10000000
1016: 01010001 01000000 00011001 00000000
1015: 01001100 01000000 00010111 00000000
1014: 01001001 01000001 00011001 00000000
1013: 01000100 01000001 00010111 00000000
1012: 01000001 01000000 00011010 00000000
1011: 00111100 01000001 00010111 00000000
1010: 00111001 01000000 00011010 00000000
1009: 00110100 01000001 00010111 00000000
1008: 00110001 01000000 00011010 00000000
1007: 00101100 01000000 00011000 00000000
1006: 00101001 01000001 00011010 00000000
1005: 00100100 01000000 00011000 00000000
1004: 00100001 01000001 00011010 00000000
1003: 00011100 01000000 00010111 00000000
1002: 00011001 01000001 00011010 00000000
1001: 00010100 01000001 00010111 10000000
———————————————————————
