Pulses:2532-2581
———————————————————————
Pulse eeeeee0a pppliiib cccccccc dfgggggg
2581: 00101100 01100000 00100101 00111111
2580: 00101001 01100011 00100101 00111111
2579: 00100100 01100011 00100100 00111111
2578: 00100001 01100011 00100100 00111111
2577: 00011100 01100010 00100100 00111111
2576: 00011001 01100010 00100011 10111111
2575: 00010100 01100010 00100100 10111111
2574: 00010001 01100010 00100101 10111111
2573: 00001100 01100011 00100100 10111111
2572: 00001001 01100011 00100101 10111111
2571: 00000100 01100010 00100101 10111111
2570: 00000001 01100010 00100111 10111111
2569: 01011100 01110010 00100110 10000001
2568: 01011001 01100011 00100110 10000001
2567: 01010100 01110010 00100101 10000001
2566: 01010001 01100011 00100101 00000001
2565: 01001100 01110010 00100100 00000001
2564: 01001001 01100011 00100101 00000001
2563: 01000100 01110011 00100011 00000001
2562: 01000001 01100011 00100101 00000001
2561: 00111100 01100010 00100100 00000001
2560: 00111001 01100011 00100101 00000001
2559: 00110100 01100010 00100011 00000001
2558: 00110001 01100011 00100100 00000001
2557: 00101100 01110011 00100011 00000001
2556: 00101001 01100011 00100101 00000001
2555: 00100100 01100010 00100011 00000001
2554: 00100001 01100011 00100101 00000001
2553: 00011100 01100010 00100011 00000001
2552: 00011001 01100011 00100101 00000001
2551: 00010100 01100010 00100011 10000001
2550: 00010001 01100010 00100100 10000001
2549: 00001100 01100011 00100011 10000001
2548: 00001001 01100011 00100100 10000001
2547: 00000100 01100010 00100100 10000001
2546: 00000001 01110010 00100110 10000001
2545: 01100100 01100010 00100100 10000000
2544: 01100001 01100010 00100101 10000000
2543: 01011100 01100010 00100100 10000000
2542: 01011001 01100011 00100100 00000000
2541: 01010100 01100010 00100100 00000000
2540: 01010001 01100011 00100011 00000000
2539: 01001100 01100010 00100010 00000000
2538: 01001001 01100010 00100011 00000000
2537: 01000100 01100011 00100010 00000000
2536: 01000001 01100011 00100011 00000000
2535: 00111100 01100011 00100010 00000000
2534: 00111001 01100010 00100010 00000000
2533: 00110100 01100010 00100010 00000000
2532: 00110001 01100011 00100001 00000000
———————————————————————
