Last login: Sun Nov 16 06:33:03 on ttys000
portals@Mac ~ % ps aux
USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      163   9.6  0.8 436169632 282592   ??  Ss    2:31AM  69:10.51 /System/Library/PrivateFrameworks/SkyLig
root               129   7.6  0.1 435364448  30944   ??  Ss    2:31AM   2:19.01 /usr/libexec/opendirectoryd
portals           6787   4.7  0.6 436088752 186960   ??  S     6:33AM   0:03.17 /System/Applications/Utilities/Terminal.
portals           7645   1.3  1.0 439263152 328112   ??  S     7:46AM   0:43.89 /Applications/Firefox.app/Contents/MacOS
portals           2370   0.7  1.5 1893988672 496848   ??  S     5:04AM   2:17.83 /Applications/Rambox.app/Contents/Framew
root                90   0.6  0.2 435528160  81696   ??  Ss    2:31AM   1:14.29 /usr/libexec/logd
portals           2347   0.5  0.7 1891050288 246224   ??  S     5:04AM   1:14.61 /Applications/Rambox.app/Contents/MacOS/
portals           2369   0.4  1.1 1893965264 353136   ??  S     5:04AM   1:20.94 /Applications/Rambox.app/Contents/Framew
root               217   0.2  0.1 435373792  35104   ??  Ss    2:31AM   1:12.73 /usr/libexec/airportd
_driverkit         300   0.2  0.1 435304832  45376   ??  Ss    2:31AM   3:16.12 /System/Library/DriverExtensions/com.app
root                 1   0.1  0.1 435246400  30736   ??  Ss    2:31AM   3:27.62 /sbin/launchd
root               626   0.1  0.0 435322272   3312   ??  S     2:31AM   0:02.83 /System/Library/Frameworks/ApplicationSe
portals            448   0.1  0.0 435430192  15744   ??  S     2:31AM   0:08.59 /System/Library/PrivateFrameworks/ViewBr
root               155   0.1  0.0 435321520   8128   ??  Ss    2:31AM   0:14.14 /usr/sbin/notifyd
portals           8371   0.1  0.4 435767328 143104   ??  Ss   10:02AM   0:35.66 /System/Library/Frameworks/AppKit.framew
portals           2358   0.1  1.0 1890572688 320768   ??  S     5:04AM   0:39.76 /Applications/Rambox.app/Contents/Framew
portals            431   0.1  0.0 435321792   5392   ??  S     2:31AM   0:03.46 /System/Library/Frameworks/ApplicationSe
root               103   0.1  0.0 435358784  13136   ??  Ss    2:31AM   0:23.89 /System/Library/CoreServices/powerd.bund
portals           2353   0.1  0.3 469288768  84816   ??  S     5:04AM   0:28.02 /Applications/Rambox.app/Contents/Framew
portals           8456   0.0  0.4 435845872 124128   ??  S    10:10AM   0:00.80 /System/Applications/TextEdit.app/Conten
portals           8385   0.0  0.1 435368384  20928   ??  Ss   10:03AM   0:00.21 /System/Library/PrivateFrameworks/FilePr
portals           8376   0.0  0.0 435305856  11904   ??  Ss   10:02AM   0:00.02 /System/Library/Frameworks/Metal.framewo
portals           8375   0.0  0.0 435305776  11872   ??  Ss   10:02AM   0:00.02 /System/Library/Frameworks/Metal.framewo
portals           8372   0.0  0.1 435311088  22736   ??  Ss   10:02AM   0:00.07 /System/Library/Frameworks/QuickLookUI.f
portals           8358   0.0  0.0 435354432   6112   ??  S     9:59AM   0:00.02 /System/Library/PrivateFrameworks/Charac
portals           8357   0.0  0.1 435362688  20160   ??  S     9:59AM   0:00.37 /System/Library/PrivateFrameworks/Sticke
portals           8356   0.0  0.0 435390240  11344   ??  Ss    9:59AM   0:00.02 /System/Library/Frameworks/AudioToolbox.
portals           8352   0.0  0.2 440019648  63376   ??  Ss    9:59AM   0:00.22 /System/Library/PrivateFrameworks/UIFoun
portals           8342   0.0  1.0 439244960 340368   ??  S     9:58AM   0:28.21 /Applications/Firefox.app/Contents/MacOS
portals           8340   0.0  0.5 439048880 178352   ??  S     9:56AM   0:00.86 /Applications/Firefox.app/Contents/MacOS
portals           8209   0.0  1.2 439328256 404736   ??  S     9:31AM   0:11.01 /Applications/Firefox.app/Contents/MacOS
portals           8147   0.0  0.1 435362016  32656   ??  S     9:20AM   0:00.26 /System/iOSSupport/System/Library/Privat
root              8136   0.0  0.1 435371392  38688   ??  Ss    9:01AM   0:48.67 /usr/libexec/PerfPowerServices
portals           8072   0.0  0.0 435309312  12992   ??  Ss    8:52AM   0:00.03 /System/Library/Frameworks/Metal.framewo
portals           8071   0.0  0.0 435339728   9952   ??  Ss    8:52AM   0:00.06 /System/Library/PrivateFrameworks/MediaA
portals           8069   0.0  0.1 435357328  20944   ??  Ss    8:52AM   0:03.68 /System/Library/PrivateFrameworks/Messag
portals           8068   0.0  0.1 435368832  20960   ??  S     8:52AM   0:00.16 /usr/libexec/proactived
_cmiodalassistants  8067   0.0  0.1 435358608  18096   ??  S     8:51AM   0:00.27 /usr/libexec/trustd --agent
_locationd        8066   0.0  0.0 435356800  13632   ??  S     8:51AM   0:00.20 /usr/libexec/trustd --agent
portals           8046   0.0  0.1 435367936  32720   ??  S     8:49AM   0:00.27 /System/Library/Frameworks/ShazamKit.fra
portals           8040   0.0  0.0 435321664   7664   ??  S     8:49AM   0:00.05 /usr/libexec/mlruntimed
portals           8029   0.0  0.0 435358048  16512   ??  Ss    8:49AM   0:00.21 /System/Library/PrivateFrameworks/FilePr
portals           8005   0.0  0.2 435412096  57600   ??  S     8:47AM   0:03.90 /System/Library/PrivateFrameworks/Intell
portals           7966   0.0  0.0 435355824  11568   ??  S     8:46AM   0:00.73 /Library/Apple/System/Library/CoreServic
root              7964   0.0  0.0 435355536  11520   ??  Ss    8:46AM   0:00.67 /Library/Apple/System/Library/CoreServic
portals           7963   0.0  0.1 435360448  25472   ??  S     8:46AM   0:00.19 /System/Library/PrivateFrameworks/Avatar
_neuralengine     7960   0.0  0.0 435322160   5664   ??  S     8:46AM   0:00.35 /usr/sbin/distnoted agent
_neuralengine     7959   0.0  0.0 435318400   4208   ??  Ss    8:46AM   0:00.02 /System/Library/PrivateFrameworks/AppleN
root              7958   0.0  0.0 435318064   4752   ??  Ss    8:46AM   0:00.04 /System/Library/PrivateFrameworks/AppleN
root              7955   0.0  0.0 435361168  12000   ??  Ss    8:46AM   0:00.17 /usr/libexec/dprivacyd
_rmd              7952   0.0  0.0 435321456   7024   ??  S     8:46AM   0:00.07 /usr/sbin/cfprefsd agent
_appinstalld      7953   0.0  0.0 435321600   6848   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
portals           7945   0.0  0.0 435361248  11968   ??  S     8:46AM   0:00.21 /usr/libexec/dprivacyd
_installcoordinationd  7943   0.0  0.0 435321888   6800   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
_modelmanagerd    7944   0.0  0.0 435321456   6864   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
_applepay         7942   0.0  0.0 435321456   7072   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
_softwareupdate   7932   0.0  0.0 435321504   6960   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
_accessoryupdater  7931   0.0  0.0 435321584   7040   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
_nsurlsessiond    7933   0.0  0.0 435321280   6816   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
_audiomxd         7923   0.0  0.0 435321328   6976   ??  S     8:46AM   0:00.06 /usr/sbin/cfprefsd agent
root              7917   0.0  0.0 435317632   5344   ??  Ss    8:46AM   0:00.03 /usr/libexec/griddatad
portals           7904   0.0  0.1 435359712  23264   ??  S     8:43AM   0:06.22 /usr/libexec/trustd --agent
