[0x00000000]> /x 00~ff
Do you want to print 3300 lines? (y/N) y
0x001000ff hit0_269 00
0x001001ff hit0_525 00
0x001002ff hit0_781 00
0x001003ff hit0_1037 00
0x001004ff hit0_1293 00
0x001005ff hit0_1549 00
0x001006ff hit0_1805 00
0x001007ff hit0_2061 00
0x001008ff hit0_2317 00
0x001009ff hit0_2573 00
0x00100aff hit0_2829 00
0x00100bff hit0_3085 00
0x00100cff hit0_3341 00
0x00100dff hit0_3597 00
0x00100eff hit0_3853 00
0x00100ff0 hit0_4094 00
0x00100ff1 hit0_4095 00
0x00100ff2 hit0_4096 00
0x00100ff3 hit0_4097 00
0x00100ff4 hit0_4098 00
0x00100ff5 hit0_4099 00
0x00100ff6 hit0_4100 00
0x00100ff7 hit0_4101 00
0x00100ff8 hit0_4102 00
0x00100ff9 hit0_4103 00
0x00100ffa hit0_4104 00
0x00100ffb hit0_4105 00
0x00100ffc hit0_4106 00
0x00100ffd hit0_4107 00
0x00100ffe hit0_4108 00
0x00100fff hit0_4109 00
0x001010ff hit0_4365 00
0x001011ff hit0_4621 00
0x001012ff hit0_4877 00
0x001013ff hit0_5133 00
0x001014ff hit0_5389 00
0x001015ff hit0_5645 00
0x001016ff hit0_5901 00
0x001017ff hit0_6157 00
0x001018ff hit0_6413 00
0x001019ff hit0_6669 00
0x00101aff hit0_6925 00
0x00101bff hit0_7181 00
0x00101cff hit0_7437 00
0x00101dff hit0_7693 00
0x00101eff hit0_7949 00
0x00101ff0 hit0_8190 00
0x00101ff1 hit0_8191 00
0x00101ff2 hit0_8192 00
0x00101ff3 hit0_8193 00
0x00101ff4 hit0_8194 00
0x00101ff5 hit0_8195 00
0x00101ff6 hit0_8196 00
0x00101ff7 hit0_8197 00
0x00101ff8 hit0_8198 00
0x00101ff9 hit0_8199 00
0x00101ffa hit0_8200 00
0x00101ffb hit0_8201 00
0x00101ffc hit0_8202 00
0x00101ffd hit0_8203 00
0x00101ffe hit0_8204 00
0x00101fff hit0_8205 00
0x001020ff hit0_8461 00
0x001021ff hit0_8717 00
0x001022ff hit0_8973 00
0x001023ff hit0_9229 00
0x001024ff hit0_9485 00
0x001025ff hit0_9741 00
0x001026ff hit0_9997 00
0x001027ff hit0_10253 00
0x001028ff hit0_10509 00
0x001029ff hit0_10765 00
0x00102aff hit0_11021 00
0x00102bff hit0_11277 00
0x00102cff hit0_11533 00
0x00102dff hit0_11789 00
0x00102eff hit0_12045 00
0x00102ff0 hit0_12286 00
0x00102ff1 hit0_12287 00
0x00102ff2 hit0_12288 00
0x00102ff3 hit0_12289 00
0x00102ff4 hit0_12290 00
0x00102ff5 hit0_12291 00
0x00102ff6 hit0_12292 00
0x00102ff7 hit0_12293 00
0x00102ff8 hit0_12294 00
0x00102ff9 hit0_12295 00
0x00102ffa hit0_12296 00
0x00102ffb hit0_12297 00
0x00102ffc hit0_12298 00
0x00102ffd hit0_12299 00
0x00102ffe hit0_12300 00
0x00102fff hit0_12301 00
0x001030ff hit0_12557 00
0x001031ff hit0_12813 00
0x001032ff hit0_13069 00
0x001033ff hit0_13325 00
0x001034ff hit0_13581 00
0x001035ff hit0_13837 00
0x001036ff hit0_14093 00
0x001037ff hit0_14349 00
0x001038ff hit0_14605 00
0x001039ff hit0_14861 00
0x00103aff hit0_15117 00
0x00103bff hit0_15373 00
0x00103cff hit0_15629 00
0x00103dff hit0_15885 00
0x00103eff hit0_16141 00
0x00103ff0 hit0_16382 00
0x00103ff1 hit0_16383 00
0x00103ff2 hit0_16384 00
0x00103ff3 hit0_16385 00
0x00103ff4 hit0_16386 00
0x00103ff5 hit0_16387 00
0x00103ff6 hit0_16388 00
0x00103ff7 hit0_16389 00
0x00103ff8 hit0_16390 00
0x00103ff9 hit0_16391 00
0x00103ffa hit0_16392 00
0x00103ffb hit0_16393 00
0x00103ffc hit0_16394 00
0x00103ffd hit0_16395 00
