Pod Fault Codes
Internal Pod Fault	Hex Value	Pod Firmware Discovery	Additional Information
000	0x00	Not used by Pod firmware for errors (indicates there is no error)	Used in PDM Ref Codes for Eros Occlusions in Alarm history.
001	0x01	Flash erase failed	
002	0x02	Flash store failed	
003	0x03	Basal subcommand table corruption	
004	0x04	Basal pulse corruption	
005	0x05	Basal step corruption	
006	0x06	RTC interrupt or pump encoder table corruption	
007	0x07	Wire overdriven timeout	
008	0x08	Invalid beep value	
009	0x09	Invalid beep repeat pattern value	
010	0x0A	Temp basal step corruption	
011	0x0B	Temp basal subcommand table corruption	
012	0x0C	Bolus overflow	
013	0x0D	Reset due to COP	
014	0x0E	Reset due to illegal opcode	
015	0x0F	Reset due to illegal address	
016	0x10	Reset due to SAWCOP	Safety check, Computer Operating Properly reset; CPU taking too long for some operation
017	0x11	Bolus step corruption	
018	0x12	Reset due to Low Voltage Detect	More likely on third day of use due to low batteries and/or static electricity
019	0x13	Message length too long	
020	0x14	Occluded	Reported as "Occlusion detected"
021	0x15	Bolus program corruption	
022	0x16	Bolus log corruption	Safety check
023	0x17	Corruption in a validated table	
024	0x18	Reservoir empty or exceeded maximum pulse delivery	Reported as "Empty reservoir"
025	0x19	Load error before starting pulse	
026	0x1A	Power Switch Array problem before starting pulse	
027	0x1B	Tick count unexpectedly not zero when starting pulse	
028	0x1C	Exceeded maximum Pod life of 80 hours	Reported as "Pod expired"
029	0x1D	Commissioned bit unexpectedly not set	
030	0x1E	Unexpected commissioned state upon reset	
031	0x1F	Alerts table corruption	
032	0x20	Validate encoder count error when bolusing	
033	0x21	Bad timer variable state	
034	0x22	Unexpected RTC Modulo Register value during reset	
035	0x23	Calibrate timer problem	
036	0x24	Tick count error RTC	
037	0x25	Tick interrupt handler unexpectedly called	
039	0x27	Failed to set up alerts for tank fill operation	
040	0x28	Bad arg or state	
041	0x29	Alert #0 auto-off timeout	Auto-off, not used by Loop app
042	0x2A	Alert #1 auto-off timeout	Not used
043	0x2B	Alert #2 auto-off timeout	Not used
044	0x2C	Alert #3 auto-off timeout	Not used
045	0x2D	Alert #4 auto-off timeout	Not used
046	0x2E	Alert #5 auto-off timeout	Not used
047	0x2F	Alert #6 auto-off timeout	Not used
048	0x30	Alert #7 auto-off timeout	Not used
049	0x31	Incorrect pod state for command	
050	0x32	Bad COP value during startup testing	
051	0x33	Multi Command Timeout Fault	
052	0x34	Reset from unknown cause	More likely on third day of use due to low batteries and/or static electricity
053	0x35	SAW Veto Status unexpectedly not set	
054	0x36	External pin reset with incorrect pod progress	
055	0x37	Bad beep pattern state variable	
056	0x38	Unexpected wire state	
057	0x39	Bad variable value for LOAD1/LOAD2 test	
058	0x3A	Invalid value in message processing	
059	0x3B	SAW reset testing failure	
060	0x3C	MCP COP testing failure	
